Ingredient,Total,African,EastAsian,EasternEuropean,LatinAmerican,MiddleEastern,NorthAmerican,NorthernEuropean,SouthAsian,SoutheastAsian,SouthernEuropean,WesternEuropean
thyme,3041,17,3,12,72,35,2241,3,4,3,378,273
tomato,9909,100,92,63,1579,110,5822,6,176,54,1593,314
tomato_juice,176,0,0,3,20,3,133,0,1,0,16,0
truffle,52,0,0,0,0,0,24,0,0,0,19,9
tuna,443,2,40,0,17,2,318,0,0,2,39,23
turkey,893,2,2,2,82,3,736,1,3,1,54,7
turmeric,1233,59,19,0,26,35,623,5,319,90,22,35
turnip,183,9,6,3,2,8,114,2,4,0,7,28
vanilla,9025,8,12,56,115,45,8081,38,15,7,269,379
veal,198,2,2,5,1,6,74,3,0,0,72,33
vegetable,1660,14,543,9,53,23,818,3,24,6,102,65
vegetable_oil,10759,60,760,82,732,132,7808,33,265,180,315,392
vinegar,7695,29,543,50,397,42,5666,38,55,98,417,360
violet,6,0,0,1,0,0,4,0,0,1,0,0
walnut,2741,7,21,21,19,51,2444,8,4,1,82,83
wasabi,103,0,55,0,2,0,44,0,0,0,0,2
watercress,132,0,5,1,5,2,94,0,2,5,7,11
watermelon,108,0,4,0,6,0,88,0,2,0,4,4
wheat,20782,114,441,197,660,272,16532,145,75,41,1027,1278
wheat_bread,83,1,0,1,2,0,67,0,1,0,6,5
whiskey,148,0,0,4,1,1,122,1,0,0,4,15
white_bread,370,2,1,5,12,1,284,2,1,0,42,20
white_wine,2166,12,30,16,58,20,1291,13,11,18,486,211
whole_grain_wheat_flour,732,4,1,1,16,8,614,3,9,1,40,35
wine,877,4,150,1,15,8,486,3,4,20,127,59
wood,33,0,0,0,0,0,30,0,0,0,1,2
yam,84,2,0,0,2,7,64,0,3,2,4,0
yeast,3397,9,41,48,63,21,2811,23,10,8,225,138
yogurt,1044,7,3,6,21,57,700,2,148,2,70,28
zucchini,1093,25,4,1,56,30,759,0,13,7,160,38
